economy,year,value,indicator description,indicator code
GMB,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2006,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2006,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2006,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2006,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2006,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2006,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2006,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2006,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2006,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2006,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2006,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2006,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2006,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2006,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2006,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2006,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2007,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2007,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2007,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2007,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2007,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2007,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2007,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2007,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2007,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2007,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2007,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2007,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2007,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2007,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2007,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2007,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2007,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2007,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2007,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2007,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2007,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2007,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2007,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2007,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2007,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2007,1.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2008,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2008,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2008,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2008,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2008,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2008,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2008,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2008,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2008,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2008,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2008,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2008,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2008,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2008,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2008,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2008,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2008,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2008,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2008,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2008,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2008,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2008,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2008,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2008,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2008,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2008,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2008,1.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2009,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2009,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2009,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2009,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2009,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2009,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2009,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2009,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2009,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2009,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2009,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2009,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2009,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2009,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2009,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2009,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2009,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2009,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2009,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2009,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2009,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2009,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2009,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2009,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2009,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2009,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2009,1.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2010,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2010,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2010,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2010,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2010,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2010,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2010,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2010,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2010,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2010,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2010,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2010,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2010,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2010,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2010,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2010,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2010,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2010,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2010,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2010,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2010,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2010,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2010,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2010,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2010,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2010,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2011,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2011,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2011,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2011,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2011,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2011,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2011,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2011,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2011,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2011,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2011,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2011,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2011,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2011,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2011,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2011,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2011,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2011,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2011,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2011,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2011,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2011,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2011,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2011,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2011,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2011,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2012,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2012,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2012,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2012,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
