Theme,Topic,Country,Year,Indicator,Value
Theme 2:  Tax Base,Presumptive,Gabon,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gabon,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Gabon,2010,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Presumptive,Gabon,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gabon,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gabon,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gabon,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Gabon,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Gabon,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Presumptive,Gabon,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Gabon,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Gambia,2010,Total number of actual active taxpayers,
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of large corporate income taxpayers,261
Theme 2:  Tax Base,Presumptive,Gambia,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Total number of actual active taxpayers,
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Ghana,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Guinea-Bissau,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Total number of actual active taxpayers,
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Kenya,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Lesotho,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Liberia,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of corporate income taxpayers:,7080
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of VAT taxpayers:,1293
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of personal income taxpayers:,11000
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of wage/salary taxpayers (employers):,60701
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Total number of actual registered taxpayers,69346
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Total number of actual active taxpayers,59119
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of large corporate income taxpayers,605
Theme 2:  Tax Base,Presumptive,Madagascar,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Malawi,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of corporate income taxpayers:,56061
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of VAT taxpayers:,16323
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of personal income taxpayers:,151123
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of wage/salary taxpayers (employers):,24723
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of wage/salary taxpayers (employees):,94699
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of trust taxpayers:,26
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Total number of actual registered taxpayers,213910
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of active corporate income taxpayers:,42853
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of active VAT taxpayers:,16140
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of active personal income taxpayers:,47763
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of active wage taxpayers (employers):,13587
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of active wage taxpayers (employees):,23086
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Total number of actual active taxpayers,137501
