country,year,value,indicator code,indicator description
Burundi,2018,0.03183079537174014,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Cabo Verde,2018,39.78851523820945,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Cambodia,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Cameroon,2018,0.30809503791178294,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Canada,2018,145.24871397541474,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Central African Republic,2018,0.008855916899490146,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Chad,2018,0.02328509104677885,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Chile,2018,108.08155932012818,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"China, P.R.: Hong Kong",2018,78.3979585680594,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"China, P.R.: Mainland",2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Colombia,2018,12.830411633852831,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Comoros,2018,0.048946556478644876,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Congo, Democratic Republic of",2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Congo, Republic of",2018,0.523550596709272,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Cook Islands,2018,272.9427826734517,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Costa Rica,2018,19.713984432529855,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Croatia,2018,101.92006507561977,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Cyprus,2018,98.04729196905107,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Czech Republic,2018,39.183134685251616,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Denmark,2018,176.15776443165268,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Dominica,2018,72.91639554555765,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Dominican Republic,2018,3.337337764851192,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Ecuador,2018,11.389239927128566,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
El Salvador,2018,19.520741465594345,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Estonia,2018,115.07125308517783,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Eswatini,2018,2.9140511435711214,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Ethiopia,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Fiji,2018,17.550112969826483,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Finland,2018,199.35336144488258,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
France,2018,168.61951455139777,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Gabon,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Gambia, The",2018,18.55127873248505,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Georgia,2018,67.18078060830052,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Germany,2018,91.79692708956841,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Ghana,2018,0.38485805767169556,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Greece,2018,186.11474980896404,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Grenada,2018,30.51280666702666,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Guatemala,2018,7.088203556949199,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Guinea,2018,0.049855421608118206,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Guinea Bissau,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Guyana,2018,117.27964313780477,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Honduras,2018,3.867440639249619,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Hungary,2018,106.23418815556023,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Iceland,2018,144.5301931459492,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
India,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Indonesia,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Ireland,2018,155.1843247462396,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Israel,2018,128.78391231244055,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Italy,2018,109.32627242854794,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Jamaica,2018,4.099409318554646,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Japan,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Kazakhstan,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Kenya,2018,35.70390844297347,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Kiribati,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Korea, Republic of",2018,24.417689685188463,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Kosovo, Republic of",2018,18.65282751379387,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Kyrgyz Republic,2018,2.648204696219859,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Lao People's Democratic Republic,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Latvia,2018,91.43157951569798,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Lebanon,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Lesotho,2018,7.2813406233641045,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Liberia,2018,1.2424895974285675,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Lithuania,2018,95.35251807354082,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Luxembourg,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Madagascar,2018,1.389220463626879,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Malawi,2018,0.03145545667539803,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Malaysia,2018,50.481913243505204,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Maldives,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Malta,2018,136.85778014346184,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Marshall Islands, Republic of",2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Mauritius,2018,36.6720095610848,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Mexico,2018,123.9748095851094,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Moldova,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Mongolia,2018,3.171801811452256,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Montenegro,2018,1.7634997075875614,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Montserrat,2018,124.45431002589716,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Morocco,2018,5.772592921904065,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Mozambique,2018,0.051941918380877854,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Myanmar,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Namibia,2018,50.8135085201715,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Nauru,2018,0,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Nepal,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Netherlands,2018,131.82362040702748,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
New Zealand,2018,89.01585601782473,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Nicaragua,2018,0.5683099139504771,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Niger,2018,0.2825540160110654,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Nigeria,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Norway,2018,171.53150154395175,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Pakistan,2018,3.81503287673374,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Palau,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Panama,2018,7.937129598155565,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Papua New Guinea,2018,0.5754351344580916,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Paraguay,2018,2.399556192009759,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Peru,2018,31.909691066135732,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Philippines,2018,45.31049416401495,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Poland,2018,106.6403159949096,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Portugal,2018,101.59090719258774,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Republic of North Macedonia,2018,1.1840084203579695,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Republika Srpska,2018,5.900532649649827,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Romania,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Russian Federation,2018,10.923723793394894,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Rwanda,2018,1.8332643641366435,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Samoa,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
São Tomé and Príncipe,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Saudi Arabia,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Senegal,2018,0.11986126077259449,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Serbia, Republic of",2018,7.056102988215307,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Seychelles,2018,20.16470588235294,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Sierra Leone,2018,0.016824491871667367,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Singapore,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Slovak Republic,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Slovenia,2018,149.13975903614457,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Solomon Islands,2018,0.9783240086826257,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
South Africa,2018,91.96414786669322,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Spain,2018,105.53054742954038,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Sri Lanka,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
St. Kitts and Nevis,2018,16.903131115459882,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
St. Lucia,2018,95.54298037842271,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
St. Vincent and the Grenadines,2018,82.10090322131532,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Suriname,2018,2.05408791127814,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Sweden,2018,144.56490156379024,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Switzerland,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Taiwan,2018,55.99755768906856,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Tajikistan,2018,0.6099753159561914,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Thailand,2018,29.454892620177464,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Timor-Leste, Dem. Rep. of",2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Togo,2018,0.44415583273355197,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Tonga,2018,2.2718546013055163,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Trinidad and Tobago,2018,4.271180769753558,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Turkey,2018,14.246985606094547,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Turks and Caicos Islands,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Uganda,2018,3.0825550837065494,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Ukraine,2018,5.056138474430143,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
United Kingdom,2018,90.8788456242797,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
United States,2018,92.3809552228265,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Uruguay,2018,76.21484252893204,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Uzbekistan,2018,26.943598857050283,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Vanuatu,2018,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Vietnam,2018,93.2161247771252,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Zambia,2018,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Zimbabwe,2018,0.3507367628752569,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Afghanistan, Islamic Republic of",2019,0.7093459087091037,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Albania,2019,3.162038381564023,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Angola,2019,39.8282133972874,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Antigua and Barbuda,2019,13.959375,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Argentina,2019,15.954229337385502,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Armenia, Republic of",2019,58.03572796185835,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Aruba,2019,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Australia,2019,169.0647536903485,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Austria,2019,146.4652780407068,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Azerbaijan, Republic of",2019,0.9674780419224156,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Bangladesh,2019,4.927147994000357,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Barbados,2019,46.54977230040909,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Belarus,2019,4.6439927179375315,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Belgium,2019,139.21192858174552,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Belize,2019,37.26109133978803,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Benin,2019,0.045750990701649875,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Bhutan,2019,16.505913422895855,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Bolivia,2019,1.4447901978898237,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Bosnia and Herzegovina,2019,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Botswana,2019,26.517404200491786,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Brazil,2019,27.928232400189007,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Brunei Darussalam,2019,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Bulgaria,2019,92.54947906488682,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Burkina Faso,2019,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Burundi,2019,0.030296407539815415,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Cabo Verde,2019,43.376884506663075,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Cambodia,2019,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Cameroon,2019,0.31376467305953637,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Canada,2019,144.6540850184415,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Central African Republic,2019,0.007744907853912199,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Chad,2019,0.024739760603977572,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Chile,2019,108.43934890952931,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"China, P.R.: Hong Kong",2019,80.44672507012831,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"China, P.R.: Mainland",2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Colombia,2019,13.980546032238324,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Comoros,2019,0.051431364631373135,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Congo, Democratic Republic of",2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Congo, Republic of",2019,0.5641111160997762,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Cook Islands,2019,288.8654419066534,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Costa Rica,2019,19.12699373770797,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Croatia,2019,105.57203857866317,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Cyprus,2019,100.51318552102832,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Czech Republic,2019,39.99458220891503,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Denmark,2019,174.18906155750977,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Dominica,2019,75.27537736898712,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Dominican Republic,2019,3.3306129922796295,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Ecuador,2019,11.4308150447038,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
El Salvador,2019,18.848970722404303,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Estonia,2019,129.9658740893127,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Eswatini,2019,2.8359225765084624,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Ethiopia,2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Fiji,2019,17.492047186692293,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Finland,2019,198.12198067632852,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
France,2019,168.943010628727,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Gabon,2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Gambia, The",2019,18.334317141016292,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Georgia,2019,68.06917455975886,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Germany,2019,94.58510053972228,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Ghana,2019,0.40771432596401985,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Greece,2019,180.71348057857443,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Grenada,2019,31.333846787626946,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Guatemala,2019,8.182323530839783,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Guinea,2019,0.047500130817074424,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Guinea Bissau,2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Guyana,2019,119.72851410820607,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Honduras,2019,3.780768951495789,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Hungary,2019,106.5392507445319,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Iceland,2019,145.46256406447299,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
India,2019,11.869662272962781,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Indonesia,2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Ireland,2019,156.77156643404996,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Israel,2019,129.67895650225648,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Italy,2019,111.55552697974704,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Jamaica,2019,4.019807593265631,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Japan,2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Kazakhstan,2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Kenya,2019,42.193541661847505,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Kiribati,2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Korea, Republic of",2019,26.610221464312662,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Kosovo, Republic of",2019,16.65575460966208,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Kyrgyz Republic,2019,2.7271954638879445,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Lao People's Democratic Republic,2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Latvia,2019,92.63186677468572,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Lebanon,2019,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Lesotho,2019,7.865454470827261,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Liberia,2019,1.4370049658889812,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Lithuania,2019,90.36224247870813,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Luxembourg,2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Madagascar,2019,1.8332545484176967,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Malawi,2019,0.032634879746562304,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Malaysia,2019,51.876144276343354,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Maldives,2019,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Malta,2019,141.1910669975186,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
"Marshall Islands, Republic of",2019,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Mauritius,2019,39.12562896972697,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Mexico,2019,130.18638308799214,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Moldova,2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Mongolia,2019,2.014040855830371,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Montenegro,2019,1.8880807166003932,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Montserrat,2019,137.88649706457926,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Morocco,2019,6.420580692836213,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Mozambique,2019,0.04122515363705639,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Myanmar,2019,1.0885730199096348,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Namibia,2019,55.13128892122665,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Nauru,2019,0,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Nepal,2019,,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Netherlands,2019,132.89220239957024,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
New Zealand,2019,144.8044013727025,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Nicaragua,2019,0.570607816255396,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Niger,2019,0.3791658186033075,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Nigeria,2019,D,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Norway,2019,166.71981606914227,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
Pakistan,2019,3.703740211600401,PIT_Labor_Force,Active taxpayers on PIT register as percentage of Labor Force
